"creators_name.family","creators_name.given","title","date","related_url","pages_aacr","thesis_degree_name"
"Li","Huan Yi","Analyzing equity-indexed annuity using Lee-Carter model ","2010","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M38M 2010 L5","ix, 63 leaves : ill. ; 29 cm.","M. Sc."
"Li Kam Wa","Peter","The critical success factors of customer relationship management (CRM) technological initiatives ","2001","http://clues.concordia.ca/search/c?SEARCH=HF 5415.5 L5 2001","viii, 116 leaves : ill. ; 29 cm.","Theses (M.Sc.Admin.)"
"Li Vong Shing","L.S.W.","The use of auxiliary information for estimation in finite population sampling ","1985","http://clues.concordia.ca/search/c?SEARCH=QA 276.6 L5+ 1985","vii, 93 leaves ; 29 cm.","Theses (M.Sc.)"
"Lian","Chen Na","Fast computation of supermaximal repeats in DNA sequences ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67M 2009 L52","xi, 80 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Liang","Hong","The application of system identification techniques for determining z-transfer function coefficients of building components ","1990","http://clues.concordia.ca/search/c?SEARCH=TH 7335 L5 1990","xii, 110 leaves : ill. ; 29 cm.","Theses (M.Eng.)"
"Liang","Zhong Feng","Urban strategy, urbanization, and industrialization : the case of the People's Republic of China (1949-1986) ","1990","http://clues.concordia.ca/search/c?SEARCH=HT 147 C48L5X 1990","ix, 165 leaves : ill., maps ; 29 cm.","Theses (M.A.)"
"Liang","Zhiying","A Markov chain approach to the problem of runs and patterns ","1993","http://clues.concordia.ca/search/c?SEARCH=QA 274.7 L535 1993","iv, 42 leaves ; 29 cm.","Theses (M.Sc.)"
"Liang","Wen","A compiler optimization framework for Concordia parallel C ","1998","http://clues.concordia.ca/search/c?SEARCH=QA 76.76 C65L53 1998","x, 110 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Liang","Hong","Minimum error tool path generation method and an interpolator design technique for ultra-precision multi-axis CNC machining ","1999","http://clues.concordia.ca/search/c?SEARCH=TJ 1189 L53 1999","xvi, 188 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Liang","Xinghua","Survivorship bias in mutual fund performance : evidence in Canadian mutual funds ","2000","http://clues.concordia.ca/search/c?SEARCH=HG 5154.5 L53 2000","vi, 86 leaves ; 29 cm.","Theses (M.Sc.Admin.)"
"Liang","Zhonghui","A performance analysis of a modified leaky bucket mechanism ","2001","http://clues.concordia.ca/search/c?SEARCH=TK 5105.35 L53 2001","xviii, 132 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Liang","Wei Hua","WISH XML query composer ","2003","http://clues.concordia.ca/search/c?SEARCH=QA 76.76 H94L53 2003","88 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Liang","Jing","Implementation of a voice activity detection and comfort noise generation algorithm ","2004","http://clues.concordia.ca/search/c?SEARCH=TK 5102.9 L53 2004","xv, 94 leaves : ill ; 29 cm.","M.A. Sc."
"Liang","Siyi","Canadian IPO share releases : lockup designs, transparency and market behavior ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66F56M 2007 L53","vii, 40 leaves ; 29 cm.","Theses (M. Sc. Admin.)"
"Liang","Hai Qing","An integrated KD-Tree cutter size determination method for 3-Axis finish machining of sculptured surface parts ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43M 2008 L53","xii, 95 leaves : ill. ; 29 cm.","M.A. Sc."
"Liao","Liang","Numerical and experimental investigation of building-integrated photovoltaic-thermal systems ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85M 2005 L53 ","x, 116 leaves : ill. ; 29 cm.","M.A. Sc."
"Libben","Gary","Some fundamentals of ESL composition analysis ","1982","http://clues.concordia.ca/search/c?SEARCH=PE 1128 A2L49X","96 leaves : ill. ; 29 cm.","Theses (M.A.)"
"Liberovskaya","Katherine","Multimedia then and now : today's digital form and past artistic concepts ","2000","http://clues.concordia.ca/search/c?SEARCH=N 72 T4L53 2000","v, 97 leaves ; 29 cm.","Theses (M.A.)"
"Lie","Yat Sen","Canonic bridge structures for some types of biquadratic driving point function. --","1970","http://clues.concordia.ca/search/c?SEARCH=TK 7872 B7L5","114 leaves. : ill.","Theses (M.Eng.)"
"Lieberman","Sharon M","Availability of Dial-a-Ride and vehicular mobility among the aging ","1979","http://clues.concordia.ca/search/c?SEARCH=HV 1475 Q4L53X","121 leaves : ill., maps ; 29 cm.","Theses (M.A.)"
"Lieberman","Melissa","Attachment to mother/attachment to father : links to peer relations in late childhood and early adolescence ","1995","http://clues.concordia.ca/search/c?SEARCH=BF 723 M55L54 1995","x, 143 leaves ; 29 cm.","Theses (M.A.)"
"Lieberman","Melissa","The association between peer relations, eating behaviors, and body esteem in adolescent girls ","2000","http://clues.concordia.ca/search/c?SEARCH=BF 724.3 B55L54 2000","xiii, 267 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Liebrecht","Shawn A. M","A multiprocessing approach to spread spectrum code acquisition under jamming ","1984","http://clues.concordia.ca/search/c?SEARCH=TK 5102.5 L53X 1984","xvi, 124 leaves : ill. ; 29 cm.","Theses (M.Eng.)"
"Liederman","Gloria","Gender differences in affectional interaction of happily married husbands and wives ","1991","http://clues.concordia.ca/search/c?SEARCH=HQ 1075 L54 1991","xiv, 304 leaves ; 29 cm.","Theses (M.A.)"
"Liegl","Robert Mihael","A full potential solver for lifting flows on unstructured tetrahedral meshes ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43M 2005 L54","x, 76 leaves : ill. ; 29 cm.","M.A. Sc."
"Liem","Siong Ket","Maximum shear strength of dapped-end or corbel ","1983","http://clues.concordia.ca/search/c?SEARCH=TA 660 B4L53X 1983","ix, 127 leaves : ill., diagrs., graphs ; 29 cm.","Theses (M.Eng.)"
"Lieu","Gia Minh","Performance of M-ary QAM in a line-of-sight multipath fading channel ","1988","http://clues.concordia.ca/search/c?SEARCH=TK 6561 L54X 1988","xiii, 98 leaves ; 29 cm.","Theses (M.Eng.)"
"Likhité","Sabine","Journal writing as an essential component to my artistic practice ","2004","http://clues.concordia.ca/search/c?SEARCH=PN 4390 L55 2004","vi, 59 leaves : col. ill. ; 29 cm.","M.A."
"Lim","Mun Loong Jeremy","Robert Louis Stevenson and Scottish Calvinism ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E54M 2008 L56","v, 88 leaves ; 29 cm.","M.A."
"Limaye","Amit M","Design and development of a novel electrohydraulic servovalve configuration ","1985","http://clues.concordia.ca/search/c?SEARCH=TJ 223 V3L55X 1985","xviii, 183 leaves : ill. ; 29 cm.","Theses (M.Eng.)"
"Lin","Kuang-Chun","The typology of a manufactured surface and its relations to the mechanical properties.","1970","http://clues.concordia.ca/search/c?SEARCH=TA 407 L5","72 leaves : illus.","Theses (M.Sc.)"
"Lin","George Tso-Chi","Blockage characteristics of a plane counter jet.","1972","http://clues.concordia.ca/search/c?SEARCH=QA 929 L5+","76 leaves : illus.","Theses (M.Eng.)"
"Lin","Joseph Ying Fan","Formability of sheet metal.","1973","http://clues.concordia.ca/search/c?SEARCH=TA 460 L55+","125 leaves : illus.","Theses (M.Eng.)"
"Lin","Ying-Lang","On the application of integral method to the solution of melting and solidification problems in a fusion welding process ","1976","http://clues.concordia.ca/search/c?SEARCH=TS 227 L6X","vii, 45 leaves : ill. ; 28 cm.","Theses (M.Eng.)"
"Lin","Rongtuan","Characterization of the leucine/Lrp regulon in Escherichia coli K-12 ","1992","http://clues.concordia.ca/search/c?SEARCH=QH 470 E8L55 1992","xviii, 307 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Lin","Zhengcheng","Dynamic control of kinematically redundant manipulators ","1993","http://clues.concordia.ca/search/c?SEARCH=TJ 211.35 L55 1993","xvi, 175 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Lin","Yu","An on-line UPS with improved input-output characteristics ","1993","http://clues.concordia.ca/search/c?SEARCH=TK 3091 L5 1993","xix, 114 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Lin","Kuo-Jui Raymond","Routing and broadcasting in two-dimensional linear congruential graphs of degree four ","1994","http://clues.concordia.ca/search/c?SEARCH=QA 76.642 L5 1994","ix, 130 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Lin","Li","Analysis of tall building tubular structures by finite story method ","1995","http://clues.concordia.ca/search/c?SEARCH=TH 845 L55 1995","xvii, 162 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Lin","Tong","The effects of sodium cations on rabbit muscle enolase : evidence for the binding of 2PGA to apo-enolase with Na⁺ ","1998","http://clues.concordia.ca/search/c?SEARCH=QP 613 E56L56 1998","xii, 106 leaves : ill. ; 29 cm.","Theses (M.Sc.)"
"Lin","Yi","POMA : a zonal model for airflow and temperature distribution analysis ","1999","http://clues.concordia.ca/search/c?SEARCH=TH 7335 L56 1999","xvi, 108 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Lin","Qinghong","XML data transfer between heterogeneous database systems ","2003","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2003 no.28","viii, 89 leaves : ill. ; 29 cm.","Major reports (M.Comp.Sc.)"
"Lin","Weisheng","Type inference in SQL ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 76.73 S67L56 2004","viii, 86 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Lin","Hui Ling Ellen","An international look at the lawsuit avoidance hypothesis of IPO underpricing ","2004","http://clues.concordia.ca/search/c?SEARCH=HG 4028 S7L56 2004","vii, 78 leaves ; 29 cm.","M. Sc. Admin."
"Lin","Fang","A design document for the CORAL deductive database system ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2004 no.2","vii, 61 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Lin","Yi","Dynamic relationships and technological innovation in hot and cold issue markets ","2004","http://clues.concordia.ca/search/c?SEARCH=HG 4028 S7L569 2004","v, 51 leaves ; 29 cm.","M. Sc. Admin."
"Lin","Bingxiong","Optimal tank geometry and braking and steering response analysis of a tank vehicle ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43M 2005 L56","xx, 143 leaves : ill. ; 29 cm.","M.A. Sc."
"Lin","Yaolin","Three-dimensional thermal and airflow (3D-TAF) model of a dome-covered house in Canada ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85P 2007 L56","xxix,  leaves : ill. ; 29 cm.","Ph. D."
"Lin","Hui","Long-term valuation impact of Sarbanes-Oxley on U.S. vs. foreign firms ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66F56M 2007 L56","vi, 54 leaves ; 29 cm.","Theses (M. Sc. Admin.)"
"Lin","Chia-Wen","The most dangerous place I've been to that's not on the map : an autoethnographic performance research on the identity negotiation of a drama therapy intern ","2007","http://clues.concordia.ca/search/c?SEARCH=RC 489 A7C6+ 2007 no.5","v, 39 leaves : ill. ; 29 cm. + 1 videodisc (4 3/4 in.)","M.A."
"Lin","Wei","Design and optimization of porous polymer enzymatic digestors for proteomics ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C54M 2009 L56","xii, 87 leaves : ill. ; 29 cm.","M. Sc."
"Lindeman","Amanda","Effects of arrival synchrony and population density on territory size and growth rate in stream salmonids ","2010","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B56M 2010 L56","ix, 54 leaves : ill. ; 29 cm.","M. Sc."
"Ling","Hai Zhou","Towards the automation of vulnerability detection in source code ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67M 2010 L56","xi, 128 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Linhares","Sylvie","Art therapy and the lived experience of diabetes ","2006","http://clues.concordia.ca/search/c?SEARCH=RC 489 A7C6+ 2006 no.14","viii, 75 leaves : ill. ; 29 cm.","M.A."
"Linnen","Anne-Marie","Interpersonal functioning among adolescent offspring of parents with bipolar disorder : an event-contingent recording study ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66P79M 2006 L56","viii, 50 leaves : ill., forms ; 29 cm.","M.A."
"Linschoten","Louise","Beyond the words-- in search of meaning : strategies used by preschool L2 acquirers in multilingual daycare settings ","1994","http://clues.concordia.ca/search/c?SEARCH=LC 3734 L55 1994","vii, 129 leaves ; 29 cm.","Theses (M.A.)"
"Linstead","Greta","Competencies : a case study of Royal Bank Financial Group, Personal Financial Services ","1997","http://clues.concordia.ca/search/c?SEARCH=HF 5549.5 P35L56 1997","ix, 230 leaves : ill. ; 29 cm.","Theses (M.A.)"
"Liontos","Demetri","A handful of olives ; stories of Greece and Greeks ","1974","http://clues.concordia.ca/search/c?SEARCH=PS 8573 I6H3+","105 leaves ; 29 cm.","Theses (M.A.)"
"Liopiris","Evangelos","Design and implementation of an experimental network DBMS (ENDBMS) ","1981","http://clues.concordia.ca/search/c?SEARCH=QA 76.9 D3L56X","xi, 323 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Lipadatova","Olga","How group art therapy helps to improve mutual interaction between mothers and their infants ","2002","http://clues.concordia.ca/search/c?SEARCH=RC 489 A7C6+ 2002 no.12","vii, 86 leaves : ill. ; 29 cm.","Research papers (M.A.)"
"Lipscombe","Carla L","Evidence for enhanced learning of a socially transmitted food preference in rats interacting in large groups ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66P79M 2008 L57","x, 94 leaves : ill. ; 29 cm.","M.A."
"Lipsky","Naomi","A proposal for the fine arts programme at the CEGEP level; an examination of the existing French Language art curriculum for university preparation at the level of the general and vocational colleges (CEGEP'S) in Quebec and proposals for an alternative program for Dawson College and other CEGEP'S.","1969","http://clues.concordia.ca/search/c?SEARCH=N 130 Q4L5","44 leaves.","Theses (M.A.)"
"Lipton","Rebecca","Breaking new ground : women and farm entry in British Columbia ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66S63M 2006 L57","viii, 118 leaves : ill. ; 29 cm.","M.A."
"Liscio","Sinella","Long term value creation of top US R&D spenders : the effects of R&D alliances ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66F56M 2005 L57","xi, 125 leaves ; 29 cm.","M. Sc. Admin."
"Lister","Suzanne","Meaning-making in bereaved parents : process and outcome ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66S36P 2005 L57","x, 207 leaves ; 29 cm.","Ph. D."
"Lithgow","Michael Andrew","Articulating counterpublics with community capital : a framework for evaluationg community television ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C66M 2007 L58","iv, 175 leaves : ill. ; 29 cm.","M.A."
"Little","Michael J","Single label fluorescent derivatization of peptides ","1997","http://clues.concordia.ca/search/c?SEARCH=QP 552 P4L58 1997","xi, 90 leaves : ill. ; 29 cm.","Theses (M.Sc.)"
"Little","Sarah Lyn","An exploration of the ways in which art therapy complements and enchances cognitive-behavior therapies in the rehabilitation of violent offenders ","2007","http://clues.concordia.ca/search/c?SEARCH=RC 489 A7C6+ 2007 no.23","vi, 74 leaves ; 29 cm.","M.A."
"Littmann","Helene","Ground zero : three novellas ","1997","http://clues.concordia.ca/search/c?SEARCH=PS 8573 I88G76 1997","iv, 373 leaves ; 29 cm.","Theses (M.A.)"
"Liu","Jiming","The representation and use of instructional strategies in intelligent CAI systems ","1988","http://clues.concordia.ca/search/c?SEARCH=LB 1028.43 L58X 1988","x, 128 leaves : ill. ; 29 cm.","Theses (M.A.)"
"Liu","Zhi","Reactions at [alpha]-pyridinium and [alpha]-sulfonium centres : synthesis of precursors to Hagedorn oxime analogs ","1992","http://clues.concordia.ca/search/c?SEARCH=QD 341 S8L85 1992","viii, 103 leaves : ill. ; 29 cm.","Theses (M.Sc.)"
"Liu","Chunyan","Thermal performance of a room with wall latent heat storage ","1993","http://clues.concordia.ca/search/c?SEARCH=TH 1715 L58 1993","xvi, 107 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Liu","Peijun","An analytical study of ride and handling performance of an interconnected vehicle suspension ","1994","http://clues.concordia.ca/search/c?SEARCH=TL 257 L58 1994","xxii, 150 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Liu","Ying","Numerical analysis of elastic membrane structures subjected to hydrostatic pressure loading ","1997","http://clues.concordia.ca/search/c?SEARCH=TP 159 M4L58 1997","xvii, 158 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Liu","Peijun","Analysis, detection and early warning control of dynamic rollover of heavy freight vehicles ","1999","http://clues.concordia.ca/search/c?SEARCH=TL 230 L58 1999","xxiv, 267 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Liu","Tong","The determinants of corporate capital structure : evidence from listed companies in China ","1999","http://clues.concordia.ca/search/c?SEARCH=HG 4249 L58 1999","vi, 54 leaves ; 29 cm.","Theses (M.Sc.Admin.)"
"Liu","Yue","Empirical tests of the clean surplus valuation model : Canadian evidence ","2000","http://clues.concordia.ca/search/c?SEARCH=HG 4028 V3L58 2000","42 leaves ; 29 cm.","Theses (M.Sc.Admin.)"
"Liu","Shuyang","Movable frame hybrid MAC : a multi-MAC protocol for wireless software radios in multi-rate multimedia applications ","2000","http://clues.concordia.ca/search/c?SEARCH=TK 5103.2 L584 2000","124 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Liu","Ping","Market thinness and the potential benefits of domestic-only portfolio diversification in Canadian equity markets ","2001","http://clues.concordia.ca/search/c?SEARCH=HG 4529.5 L58 2001","viii, 104 leaves ; 29 cm.","Theses (M.Sc.Admin.)"
"Liu","Ze Hui","Implementing query processing using views in semistructured databases ","2001","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2001 no.22","ix, 59 leaves : ill. ; 29 cm.","Major reports (M.Comp.Sc.)"
"Liu","Hao","Scattering from periodic array of parallel strips ","2001","http://clues.concordia.ca/search/c?SEARCH=TK 6565 A6L58 2001","ix, 102 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Liu","Ming He","Dynamic simulator of a flight management system for commercial jetliner : development, integration and application ","2002","http://clues.concordia.ca/search/c?SEARCH=TL 671.7 L58 2002","xvi, 164 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Liu","Jinglei","Turbo coded OFDM with a novel synchronization technique for broadband wireless applications ","2002","http://clues.concordia.ca/search/c?SEARCH=TK 5103.4 L58 2002","xi, 91 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Liu","Ying Chun","Comparison between C++ and Java : a case study using a networked automated gas station stimulation system ","2002","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2002 no.31","vii, 70 leaves : ill. ; 29 cm.","Major reports (M.Comp.Sc.)"
"Liu","Jun","Assistant assignment planner system design and implementation ","2002","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2002 no.30","vi, 46 leaves : ill. ; 29 cm.","Major reports (M.Comp.Sc.)"
"Liu","Zikuan","Wireless PCS systems modeling and optimization using DEDS approaches ","2002","http://clues.concordia.ca/search/c?SEARCH=TK 5103.485 L58 2002","ix, 80 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Liu","Zhaoxia","Design of 3D graphic editor ","2002","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2002 no.33","iv, 61 leaves : ill. ; 29 cm.","Major reports (M.Comp.Sc.)"
"Liu","Shi Hui","Simulated validation of real-time reactive system with parameterized events ","2003","http://clues.concordia.ca/search/c?SEARCH=QA 76.54 L48 2003","xii, 138 leaves : ill., tables ; 29 cm.","Theses (M.Comp.Sc.)"
"Liu","Xiaolin","Multicasting algorithms for mesh and torus networks ","2003","http://clues.concordia.ca/search/c?SEARCH=TK 5105.887 L58 2003","xi, 103 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Liu","Yimin","Data modeling for biochemical pathway and microarray gene expression ","2003","http://clues.concordia.ca/search/c?SEARCH=QH 450 L58 2003","viii, 121 leaves : ill., tables ; 29 cm.","Theses (M.Comp.Sc.)"
"Liu","Ying","CSFS : a secure file system ","2003","http://clues.concordia.ca/search/c?SEARCH=QA 76.9 F5L57 2003","vii, 105 leaves : ill ; 29 cm.","Theses (M.Comp.Sc.)"
"Liu","Xuejun","An improved perturbation and observation maximum power point tracking algorithm for PV panels ","2004","http://clues.concordia.ca/search/c?SEARCH=TK 2960 L58 2004","xvii, 119 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Peng","New peak-to-average power ratio reduction schemes for OFDM systems ","2004","http://clues.concordia.ca/search/c?SEARCH=TK 5102.5 L58 2004","xvi, 87 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Zeng Lian","Control and simulation investigation of wing rock phenomenon ","2004","http://clues.concordia.ca/search/c?SEARCH=TL 672 L58 2004","xv, 222 leaves : ill. ; 29 cm.","Ph. D."
"Liu","Baozhu","Full-duplex 60 GHz band dense wavelength division multiplexing star tree architecture for radio-over-fiber systems ","2004","http://clues.concordia.ca/search/c?SEARCH=TK 5103.592 W38L56 2004","xiv, 75 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Gang","Timed test suite generation based on test purpose expressed in MSC ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 76.76 V47L58 2004","ix, 139 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Wei Ping","Epoxy-clay nanocomposites for structural applications ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43P 2005 L58","xxv, 325 leaves : ill. ; 29 cm.","Ph. D."
"Liu","Weiguang","Dynamic instability analysis of tapered composite plates using Ritz and finite element methods ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43M 2005 L58","xxiii, 252 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Wenping","Performance comparison of medium access control in wireless LAN IEEE-802.11 and HIPERLAN ","2005","http://clues.concordia.ca/search/c?SEARCH=TK 5105.5668 L58 2005","xv, 116 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Wucheng","Characterization of J822 : a novel cold induced GTP-binding protein gene in wheat (Triticum aestivum) ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B56M 2005 L585","xiv, 92 leaves : ill. ; 29 cm.","M. Sc."
"Liu","Shujun","Enzymatic function of active site loop in enolase : preparation and characterization of G37A and G41A mutant yeast enolases ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B56M 2005 L58","xiv, 141 leaves : ill. ; 29 cm.","M. Sc."
"Liu","Xuan","Causes and consequences of venture capitalist litigation ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66F56M 2005 L58","v, 61 leaves : ill. ; 29 cm.","M. Sc. Admin."
"Liu","Dai Ying","Progressive failure and post-buckling response of tapered composite plates ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43P 2006 L56","xxxi, 320 leaves : ill. ; 29 cm.","Ph. D."
"Liu","Peiyuan","A performance model of the IEEE 802.11 distributed coordination function under finite load condition ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2006 L58","xvii, 101 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Yiqun","A forecasting model for maintenance and repair costs for office buildings ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85M 2006 L58","xv, 150 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Kun","A directional MAC protocol for MANET ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2006 L57","xii, 88 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Feng","High quality rendering for point sampled geometry ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67M 2006 L58","ix, 55 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Liu","Feng","An application of the chase algorithm to multiuser detection ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2007 L584","xiii, 101 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Gang","Automated cutter size and orientation determinations for multi-axis sculptured part milling ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43M 2007 L58","x, 88 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Yi","Enhanced admission control and QoS provisioning in IEEE 802.11 wireless LANs ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2007 L589","x, 77 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Fang","An empirical investigation of cross-border acquisitions between Canada and the United Kingdom ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66F56M 2007 L58","vi, 49 leaves : ill. ; 29 cm.","M. Sc. Admin."
"Liu","Shi Yuan","Chinese independent immigrants in Montreal : staying or leaving? ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66G46M 2008 L58","xiii, 225 leaves : ill. ; 29 cm.","M.A."
"Liu","Sining","Image-based visual servoing using improved image moments in 6-DOF robot systems ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43M 2008 L58","xii, 100 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Yong Chang","Logic diagram verification by modular supervisory control of discrete-event system ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2008 L58","xii,  107 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Yan","Design and implementation of a Pomset automaton based runtime verifier for distributed Jade programs ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67M 2008 L583","xi, 88 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Liu","Wen Ming","On applications of simulated annealing to cryptology ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66I54M 2008 L58","x, 83 leaves ; 29 cm.","M.A. Sc."
"Liu","Qian","Securing telehealth applications in a Web-based e-health portal ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67M 2008 L58","x, 65 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Liu","Xudong","Cost analysis for manufacturing of composite aerospace products with uncertainties ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43M 2009 L58","ix, 75 leaves : ill. ; 29 cm.","M.A. Sc."
"Liu","Jinlin","New studies in convertible bond investment and financing ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66F56P 2009 L58","ix, 157 leaves : ill. ; 29 cm.","Theses (Ph. D.)"
"Liu","Shuai","Localizing unauthorized updates in published micro-data tables through secret order-based watermarking ","2010","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66I54M 2010 L58","x, 73 leaves : ill. ; 29 cm.","M.A. Sc."
"Livas","Dimitrios","Distributed global state detection system : specification and design ","1990","http://clues.concordia.ca/search/c?SEARCH=QA 76.9 D3L59 1990","xi, 122 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Ljungdahl","Lesley","Social satire in the short stories of Patrick White ","1976","http://clues.concordia.ca/search/c?SEARCH=PR 9619.3 W5Z75X","v, 112 leaves ; 28 cm.","Theses (M.A.)"
"Llama","Raquel","Cross-linguistic influence in third language acquisition : the roles of typology and L2 status ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E38M 2008 L53","xi, 134 leaves : ill. ; 29 cm.","M.A."
"Lloyd","David","Improving employee commitment ","2000","http://clues.concordia.ca/search/c?SEARCH=HF 5549.5 M63L56 2000","iv, 152 leaves ; 29 cm.","Theses (M.A.)"
"Lo Faso","Vince","Implementing XTP in an IP environment ","2001","http://clues.concordia.ca/search/c?SEARCH=TK 5105.55 L62 2001","ix, 124 leaves ; 29 cm.","Theses (M.Comp.Sc.)"
"LoCicero","Carlo","An event-trace study of the performance of the I/O subsystem for a CDC CYBER 172 computer ","1980","http://clues.concordia.ca/search/c?SEARCH=QA 76.8 C234L62+","328 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
